title,price
"Riders Republic PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
Wolfenstein® II: The New Colossus™ (English/Chinese Ver.),"Rp 532,000"
"Tchia (PS4 & PS5) (Simplified Chinese, English, Korean, Japanese)","Rp 278,850"
The Evil Within 2 (English/Chinese/Korean Ver.),"Rp 532,000"
Dishonored®: Death of the Outsider™ (English/Chinese Ver.),"Rp 370,000"
Wolfenstein: Youngblood (English/Chinese/Korean Ver.),"Rp 279,000"
"Thymesia (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 287,430"
"Rune Factory 4 Special (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"STORY OF SEASONS: Friends of Mineral Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 321,000"
"STORY OF SEASONS: Pioneers of Olive Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 320,000"
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Ghostwire: Tokyo (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 829,000"
"Tom Clancy’s Rainbow Six Extraction PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 515,000"
The Evil Within (Chinese Ver.),"Rp 319,000"
Wolfenstein: The Old Blood (English),"Rp 257,000"
"Bassmaster® Fishing PS4™ and PS5™ (Simplified Chinese, English, Japanese)","Rp 579,000"
"Life is Strange: True Colors PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 879,000"
"The Quarry for PS4™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 859,000"
"The Quarry for PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 999,000"
"Outer Wilds (Simplified Chinese, English, Korean, Japanese)","Rp 209,400"
"SCARLET NEXUS PS4 & PS5 (English, Japanese)","Rp 187,250"
"Borderlands 3 PS4™ &  PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 890,000"
"Sackboy: A Big Adventure PS4 & PS5 (English, Korean, Traditional Chinese)","Rp 879,000"
